ime,naslov,drzava,standard_rating,rapid_rating,blitz_rating,leto_rojstva
"Kasparov, Garry",GM ,RUS,2812,2783,2644,1963
"Ding, Liren",GM ,CHN,2799,2836,2788,1992
"Caruana, Fabiano",GM ,USA,2791,2770,2765,1992
"Aronian, Levon",GM ,ARM,2782,2761,2767,1982
"Nepomniachtchi, Ian",GM ,RUS,2782,2798,2792,1990
"Giri, Anish",GM ,NED,2774,2767,2778,1994
"Grischuk, Alexander",GM ,RUS,2773,2763,2757,1983
"So, Wesley",GM ,USA,2772,2782,2814,1993
"Firouzja, Alireza",GM ,FRA,2770,2656,2810,2003
"Vachier-Lagrave, Maxime",GM ,FRA,2766,2773,2838,1990
"Mamedyarov, Shakhriyar",GM ,AZE,2765,2727,2754,1985
"Radjabov, Teimour",GM ,AZE,2763,2747,2705,1987
"Rapport, Richard",GM ,HUN,2763,2750,2754,1996
"Duda, Jan-Krzysztof",GM ,POL,2756,2801,2792,1998
"Kramnik, Vladimir",GM ,RUS,2753,2756,2712,1975
"Dominguez Perez, Leinier",GM ,USA,2752,2722,2728,1983
"Anand, Viswanathan",GM ,IND,2751,2748,2825,1969
"Wang, Hao",GM ,CHN,2744,2750,2712,1989
"Karjakin, Sergey",GM ,RUS,2743,2757,2657,1990
"Nakamura, Hikaru",GM ,USA,2736,2836,2884,1987
"Vitiugov, Nikita",GM ,RUS,2734,2580,2673,1987
"Topalov, Veselin",GM ,BUL,2730,2668,2667,1975
"Wei, Yi",GM ,CHN,2729,2752,2686,1999
"Vidit, Santosh Gujrathi",GM ,IND,2727,2639,2739,1994
"Andreikin, Dmitry",GM ,RUS,2724,2692,2736,1990
"Harikrishna, Pentala",GM ,IND,2721,2705,2614,1986
"Dubov, Daniil",GM ,RUS,2714,2735,2747,1996
"Adams, Michael",GM ,ENG,2714,2670,2742,1971
"Esipenko, Andrey",GM ,RUS,2713,2679,2592,2002
"Alekseenko, Kirill",GM ,RUS,2710,2637,2663,1997
"Le, Quang Liem",GM ,VIE,2709,2715,2774,1991
"Tomashevsky, Evgeny",GM ,RUS,2708,2631,2695,1987
"Shankland, Sam",GM ,USA,2708,2647,2660,1991
"Maghsoodloo, Parham",GM ,IRI,2706,2516,2601,2000
"Fedoseev, Vladimir",GM ,RUS,2704,2692,2716,1995
"Vallejo Pons, Francisco",GM ,ESP,2704,2682,2644,1982
"Yu, Yangyi",GM ,CHN,2704,2738,2808,1994
"Van Foreest, Jorden",GM ,NED,2701,2563,2600,1999
"Wojtaszek, Radoslaw",GM ,POL,2700,2743,2730,1987
"Bu, Xiangzhi",GM ,CHN,2700,2642,2760,1985
"Navara, David",GM ,CZE,2699,2706,2758,1985
"Artemiev, Vladislav",GM ,RUS,2699,2714,2830,1998
"Svidler, Peter",GM ,RUS,2694,2752,2709,1976
"Sadler, Matthew D",GM ,ENG,2694,2673,2646,1974
"Matlakov, Maxim",GM ,RUS,2691,2652,2652,1991
"Salem, A.R. Saleh",GM ,UAE,2690,2729,2642,1993
"Almasi, Zoltan",GM ,HUN,2687,2599,2585,1976
"Eljanov, Pavel",GM ,UKR,2687,2641,2602,1983
"Xiong, Jeffery",GM ,USA,2687,2729,2699,2000
"Rausis, Igors",IM ,FID,,,,1961
"Korobov, Anton",GM ,UKR,2684,2689,2718,1985
"Jakovenko, Dmitry",GM ,RUS,2682,2684,2625,1983
"Kryvoruchko, Yuriy",GM ,UKR,2681,2697,2617,1986
"Amin, Bassem",GM ,EGY,2680,2614,2617,1988
"Li, Chao b",GM ,CHN,2679,2645,2693,1989
"Ivanchuk, Vasyl",GM ,UKR,2678,2686,2710,1969
"Cheparinov, Ivan",GM ,BUL,2677,2621,2661,1986
"Berkes, Ferenc",GM ,HUN,2676,2637,2676,1985
"Robson, Ray",GM ,USA,2676,2605,2683,1994
"Polgar, Judit",GM ,HUN,2675,2646,2736,1976
"Nyzhnyk, Illya",GM ,UKR,2674,2658,2694,1996
"Gelfand, Boris",GM ,ISR,2674,2648,2650,1968
"Gyimesi, Zoltan",GM ,HUN,2674,,,1977
"Shirov, Alexei",GM ,ESP,2673,2702,2640,1972
"Mamedov, Rauf",GM ,AZE,2673,2690,2678,1988
"Adhiban, B.",GM ,IND,2672,2626,2629,1992
"Areshchenko, Alexander",GM ,UKR,2670,2588,2627,1986
"Wang, Yue",GM ,CHN,2669,2710,2666,1987
"Grandelius, Nils",GM ,SWE,2669,2652,2651,1993
"Anton Guijarro, David",GM ,ESP,2669,2627,2613,1995
"Sevian, Samuel",GM ,USA,2668,2586,,2000
"Ni, Hua",GM ,CHN,2668,2647,2579,1983
"Ragger, Markus",GM ,AUT,2668,2630,2541,1988
"Kovalenko, Igor",GM ,LAT,2668,2649,2629,1988
"Predke, Alexandr",GM ,RUS,2668,2648,2580,1994
"McShane, Luke J",GM ,ENG,2667,2698,2591,1984
"Guseinov, Gadir",GM ,AZE,2665,2692,2581,1986
"Saric, Ivan",GM ,CRO,2665,2684,2575,1990
"Sargissian, Gabriel",GM ,ARM,2664,2693,2596,1983
"Sjugirov, Sanan",GM ,RUS,2663,2634,2653,1993
"Leko, Peter",GM ,HUN,2663,2710,2738,1979
"Ponkratov, Pavel",GM ,RUS,2662,2598,2642,1988
"Tkachiev, Vladislav",GM ,FRA,2660,2673,2587,1973
"Kasimdzhanov, Rustam",GM ,UZB,2659,2698,2693,1979
"Oparin, Grigoriy",GM ,RUS,2659,2725,2604,1997
"Inarkiev, Ernesto",GM ,RUS,2659,2678,2639,1985
"Morozevich, Alexander",GM ,RUS,2659,2651,2636,1977
"Van Kampen, Robin",GM ,NED,2658,2653,2478,1994
Narayanan.S.L,GM ,IND,2658,2482,2570,1998
"Jumabayev, Rinat",GM ,KAZ,2658,2562,2535,1989
"Lautier, Joel",GM ,FRA,2658,,,1973
"Hou, Yifan",GM WGM,CHN,2658,2621,2601,1994
"Kamsky, Gata",GM ,USA,2657,2717,2645,1974
"Sarana, Alexey",GM ,RUS,2656,2663,2689,2000
"Volokitin, Andrei",GM ,UKR,2656,2631,2606,1986
"Demchenko, Anton",GM ,RUS,2655,2666,2583,1987
"Cori, Jorge",GM ,PER,2655,2604,2588,1995
"Najer, Evgeniy",GM ,RUS,2654,2565,2551,1977
"Jones, Gawain C B",GM ,ENG,2654,2604,2657,1987
"Malakhov, Vladimir",GM ,RUS,2652,2670,2654,1980
"Nisipeanu, Liviu-Dieter",GM ,GER,2651,2636,2637,1976
"Deac, Bogdan-Daniel",GM ,ROU,2651,2556,2605,2001
"Rakhmanov, Aleksandr",GM ,RUS,2650,2633,2554,1989
Nihal Sarin,GM ,IND,2650,2500,2667,2004
"Nabaty, Tamir",GM ,ISR,2649,2636,2627,1991
"Tari, Aryan",GM ,NOR,2649,2542,2656,1999
"Melkumyan, Hrant",GM ,ARM,2649,2686,2604,1989
"Howell, David W L",GM ,ENG,2648,2624,2666,1990
"Swiercz, Dariusz",GM ,USA,2647,2649,2689,1994
"Bluebaum, Matthias",GM ,GER,2647,2575,2681,1997
"Shevchenko, Kirill",GM ,UKR,2647,2508,2574,2002
"Bacrot, Etienne",GM ,FRA,2647,2720,2673,1983
"Lagarde, Maxime",GM ,FRA,2647,2688,2622,1994
"Socko, Bartosz",GM ,POL,2646,2562,2571,1978
"Abdusattorov, Nodirbek",GM ,UZB,2646,2593,2690,2004
"Donchenko, Alexander",GM ,GER,2645,2535,2490,1998
"Ma, Qun",GM ,CHN,2645,2570,2602,1991
"Naiditsch, Arkadij",GM ,AZE,2645,2571,2577,1985
"Ipatov, Alexander",GM ,TUR,2644,2584,2534,1993
"Salov, Valery",GM ,RUS,2644,,,1964
"Gustafsson, Jan",GM ,GER,2643,2641,2548,1979
"Paravyan, David",GM ,RUS,2642,2671,2639,1998
"Nguyen, Ngoc Truong Son",GM ,VIE,2641,2612,2596,1990
"Bauer, Christian",GM ,FRA,2641,2643,2727,1977
"Zhang, Zhong",GM ,CHN,2640,2475,2535,1978
"Onischuk, Alexander",GM ,USA,2640,2693,2650,1975
"Sasikiran, Krishnan",GM ,IND,2640,2577,2552,1981
"Tabatabaei, M. Amin",GM ,IRI,2639,2425,2555,2001
"Negi, Parimarjan",GM ,IND,2639,2613,2613,1993
"Keymer, Vincent",GM ,GER,2639,2542,2557,2004
"Rublevsky, Sergei",GM ,RUS,2637,2661,2608,1974
"Grigoryan, Karen H.",GM ,ARM,2637,2660,2617,1995
"Kuzubov, Yuriy",GM ,UKR,2637,2643,2592,1990
"Azmaiparashvili, Zurab",GM ,GEO,2637,2619,2608,1960
"Bruzon Batista, Lazaro",GM ,USA,2636,2619,2709,1982
"Gledura, Benjamin",GM ,HUN,2635,2619,2326,1999
"Niemann, Hans Moke",GM ,USA,2635,2327,2592,2003
"Dreev, Aleksey",GM ,RUS,2635,2621,2633,1969
"Laznicka, Viktor",GM ,CZE,2634,2639,2572,1988
"Piorun, Kacper",GM ,POL,2634,2547,2535,1991
"Riazantsev, Alexander",GM ,RUS,2634,2632,2520,1985
"Mareco, Sandro",GM ,ARG,2634,2553,2546,1987
"Kovalev, Vladislav",GM ,FID,2634,2647,2573,1994
"Abasov, Nijat",GM ,AZE,2634,2567,2522,1995
"Ganguly, Surya Shekhar",GM ,IND,2633,2646,2563,1983
"Ponomariov, Ruslan",GM ,UKR,2633,2673,2703,1983
"Lenic, Luka",GM ,SLO,2633,2666,2659,1988
"Short, Nigel D",GM ,ENG,2633,2537,2619,1965
"Motylev, Alexander",GM ,RUS,2633,2703,2540,1979
"Afromeev, Vladimir",FM ,RUS,2633,,2623,1954
"Santos Latasa, Jaime",GM ,ESP,2633,2616,2561,1996
"Papaioannou, Ioannis",GM ,GRE,2633,2614,2666,1976
"Moussard, Jules",GM ,FRA,2632,2722,2644,1995
"Vocaturo, Daniele",GM ,ITA,2632,2584,2565,1989
"Meier, Georg",GM ,URU,2631,2654,2633,1987
"Kovalyov, Anton",GM ,CAN,2631,2585,2583,1992
"Bareev, Evgeny",GM ,CAN,2631,2659,2678,1966
"Fressinet, Laurent",GM ,FRA,2630,2676,2677,1981
"Pichot, Alan",GM ,ARG,2630,2523,2600,1998
"Karthikeyan, Murali",GM ,IND,2630,2388,2579,1999
